eBird species code 2018,sort v2018,category,English name,scientific name,range,order,family,eBird species group,extinct,extinct year,,,,,,,,,,,,,,,,,,,
casspa,30643.0,species,Cassin's Sparrow,Peucaea cassinii,Arid sw US and adjacent n Mexico; > to central Mexico,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
y00646,30644.0,slash,Botteri's/Cassin's Sparrow,Peucaea botterii/cassinii,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
bacspa,30645.0,species,Bachman's Sparrow,Peucaea aestivalis,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30646.0,subspecies,,Peucaea aestivalis illinoensis,Indiana and Illinois to Texas and s Louisiana; > to Gulf coast,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30647.0,subspecies,,Peucaea aestivalis bachmani,Oak-pine woods of Mid-Atlantic states to n Gulf states,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30648.0,subspecies,,Peucaea aestivalis aestivalis,Oak-pine woods of e South Carolina and e Georgia to s Florida,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
peucae1,30649.0,spuh,Peucaea sp.,Peucaea sp.,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
graspa,30650.0,species,Grasshopper Sparrow,Ammodramus savannarum,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30651.0,subspecies,,Ammodramus savannarum perpallidus,SE Br. Columbia to w Ontario and sw US; > to El Salvador,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30652.0,subspecies,,Ammodramus savannarum ammolegus,S Arizona and nw Mexico (n Sonora); > to Guatemala,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30653.0,subspecies,,Ammodramus savannarum pratensis,SE Canada and e US; > to Guatemala and Cuba,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30654.0,subspecies,,Ammodramus savannarum floridanus,Central peninsular Florida,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30655.0,subspecies,,Ammodramus savannarum bimaculatus,"S Mexico (Veracruz) to Nicaragua, nw Costa Rica and w Panama",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30656.0,subspecies,,Ammodramus savannarum cracens,"Petén and e Guatemala to Belize, e Honduras and ne Nicaragua",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30657.0,subspecies,,Ammodramus savannarum caucae,Colombia (upper Cauca Valley) and adjacent n Ecuador,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30658.0,subspecies,,Ammodramus savannarum savannarum,Jamaica,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30659.0,subspecies,,Ammodramus savannarum intricatus,Hispaniola,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30660.0,subspecies,,Ammodramus savannarum borinquensis,Puerto Rico,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30661.0,subspecies,,Ammodramus savannarum caribaeus,Curaçao and Bonaire,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
graspa1,30662.0,species,Grassland Sparrow,Ammodramus humeralis,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30663.0,subspecies,,Ammodramus humeralis humeralis,"Lowlands of e Colombia to Venezuela, the Guianas and Brazil",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30664.0,subspecies,,Ammodramus humeralis pallidulus,NE Colombia (Guajira Peninsula),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30665.0,subspecies,,Ammodramus humeralis xanthornus,"E Bolivia (Beni) to Paraguay, Uruguay, s Brazil and n Argentina",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30666.0,subspecies,,Ammodramus humeralis tarijensis,E Bolivia (Santa Cruz and Tarija),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
yebspa1,30667.0,species,Yellow-browed Sparrow,Ammodramus aurifrons,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30668.0,subspecies,,Ammodramus aurifrons apurensis,NE Colombia and w Venezuela,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30669.0,subspecies,,Ammodramus aurifrons cherriei,Llanos of e Colombia (Meta),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30670.0,subspecies,,Ammodramus aurifrons tenebrosus,Tropical e Colombia (Vaupés) and Venezuela (sw Amazonas),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30671.0,subspecies,,Ammodramus aurifrons aurifrons,"Trop. se Colombia to e Ecuador, Peru, Bolivia and w Amaz. Brazil",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
y01083,30672.0,slash,Grassland/Yellow-browed Sparrow,Ammodramus humeralis/aurifrons,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
olispa,30673.0,species,Olive Sparrow,Arremonops rufivirgatus,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
olispa1,30674.0,group (polytypic),Olive Sparrow (Olive),Arremonops rufivirgatus [rufivirgatus Group],,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30675.0,subspecies,,Arremonops rufivirgatus rufivirgatus,S Texas to ne Mexico (Coahuila and Nuevo León to Tamaulipas),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30676.0,subspecies,,Arremonops rufivirgatus ridgwayi,E Mexico (s Tamaulipas to San Luis Potosí and n Veracruz),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30677.0,subspecies,,Arremonops rufivirgatus crassirostris,Coastal se Mexico (Veracruz to e Puebla and n Oaxaca),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30678.0,subspecies,,Arremonops rufivirgatus verticalis,SE Mexico (Yucatán Pen.) to Petén of n Guatemala and n Belize,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30679.0,subspecies,,Arremonops rufivirgatus rhyptothorax,SE Mexico (Yucatán Peninsula),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
olispa2,30680.0,group (polytypic),Olive Sparrow (Pacific),Arremonops rufivirgatus [superciliosus Group],,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30681.0,subspecies,,Arremonops rufivirgatus sinaloae,Coastal w Mexico (Sinaloa to Nayarit),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30682.0,subspecies,,Arremonops rufivirgatus sumichrasti,"Coastal sw Mexico (Jalisco to Colima, Michoacán and Oaxaca)",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30683.0,subspecies,,Arremonops rufivirgatus chiapensis,S Mexico (central valley of Chiapas),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30684.0,subspecies,,Arremonops rufivirgatus superciliosus,Pacific coast of nw Costa Rica,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
grbspa1,30685.0,species,Green-backed Sparrow,Arremonops chloronotus,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30686.0,subspecies,,Arremonops chloronotus chloronotus,Gulf slope of se Mexico (Tabasco) to Belize and nw Honduras,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30687.0,subspecies,,Arremonops chloronotus twomeyi,Tropical n-central Honduras (Yoro and Olancho),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
y00921,30688.0,slash,Olive/Green-backed Sparrow,Arremonops rufivirgatus/chloronotus,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
blsspa1,30689.0,species,Black-striped Sparrow,Arremonops conirostris,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30690.0,subspecies,,Arremonops conirostris richmondi,"Tropical e Honduras to Nicaragua, Costa Rica and w Panama",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30691.0,subspecies,,Arremonops conirostris striaticeps,Central and e Panama to Pacific slope of Colombia and w Ecuador,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30692.0,subspecies,,Arremonops conirostris inexpectatus,Colombia (arid upper Magdalena Valley),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30693.0,subspecies,,Arremonops conirostris conirostris,Caribbean coast of Colombia to n Venezuela and extreme n Brazil,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30694.0,subspecies,,Arremonops conirostris umbrinus,E Colombia (Norte de Santander) to w Venezuela,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30695.0,subspecies,,Arremonops conirostris pastazae,southeastern Ecuador (Pastaza River drainage),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
tocspa1,30696.0,species,Tocuyo Sparrow,Arremonops tocuyensis,Arid scrub of ne Colombia and nw Venezuela,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
chispa,30697.0,species,Chipping Sparrow,Spizella passerina,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30698.0,subspecies,,Spizella passerina arizonae,"SE Alaska and w Yukon to n Baja, nw Mexico; > to Oaxaca",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30699.0,subspecies,,Spizella passerina passerina,SE Canada to s Texas and South Carolina; > to ne Mexico,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30700.0,subspecies,,Spizella passerina atremaea,Mexico (Sierra Madre Occidental to pine belt of Nuevo León),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30701.0,subspecies,,Spizella passerina mexicana,Highlands of w Mexico (Nayarit) to nw Guatemala,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30702.0,subspecies,,Spizella passerina pinetorum,Pine forests of n Guatemala (Petén) to ne Nicaragua,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
clcspa,30703.0,species,Clay-colored Sparrow,Spizella pallida,Breeds w Canada and US; > to Guatemala,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
x00198,30704.0,hybrid,Chipping x Clay-colored Sparrow (hybrid),Spizella passerina x pallida,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
bkcspa,30705.0,species,Black-chinned Sparrow,Spizella atrogularis,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30706.0,subspecies,,Spizella atrogularis evura,"SE Calif. to n Nevada, sw Utah, Arizona, w Texas and n Sonora",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30707.0,subspecies,,Spizella atrogularis caurina,Coastal central California (Contra Costa to San Benito counties),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30708.0,subspecies,,Spizella atrogularis cana,Interior coastal mountains of California (Monterey) to n Baja,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30709.0,subspecies,,Spizella atrogularis atrogularis,Cent. plateau of Mexico (Durango to w Nuevo Leon and s Oaxaca),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
fiespa,30710.0,species,Field Sparrow,Spizella pusilla,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30711.0,subspecies,,Spizella pusilla pusilla,SE Canada to se US; > to Gulf Coast and s Florida,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30712.0,subspecies,,Spizella pusilla arenacea,Great Plains of central US; > to Gulf Coast and ne Mexico,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
x00200,30713.0,hybrid,Clay-colored x Field Sparrow (hybrid),Spizella pallida x pusilla,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
brespa,30714.0,species,Brewer's Sparrow,Spizella breweri,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
brespa1,30715.0,group (monotypic),Brewer's Sparrow (breweri),Spizella breweri breweri,Br. Col. and Alberta to sw US; > to Baja and cent. Mexico,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
timspa3,30716.0,group (monotypic),Brewer's Sparrow (Timberline),Spizella breweri taverneri,SW Yukon and nw Br. Col. to se Br. Col. and sw Alberta,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
x00201,30717.0,hybrid,Black-chinned x Brewer's Sparrow (hybrid),Spizella atrogularis x breweri,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
x00199,30718.0,hybrid,Clay-colored x Brewer's Sparrow (hybrid),Spizella pallida x breweri,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
worspa,30719.0,species,Worthen's Sparrow,Spizella wortheni,"NE Mexico (Coahuila to Nuevo León, Zacatecas and Veracruz)",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
spizel1,30720.0,spuh,Spizella sp.,Spizella sp.,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
bktspa,30721.0,species,Black-throated Sparrow,Amphispiza bilineata,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30722.0,subspecies,,Amphispiza bilineata bilineata,"N-c Texas to ne Mexico (e Coahuila, Nuevo León and Tamaulipas)",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30723.0,subspecies,,Amphispiza bilineata opuntia,"SE Colorado to e New Mexico, w Texas and nw Coahuila",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30724.0,subspecies,,Amphispiza bilineata deserticola,"Arid w-c US to n Baja, islands in Sea of Cortés and nw Chihuahua",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30725.0,subspecies,,Amphispiza bilineata bangsi,Cape District of s Baja California and adjacent islands,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30726.0,subspecies,,Amphispiza bilineata tortugae,Isla La Tortuga (Gulf of California),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30727.0,subspecies,,Amphispiza bilineata carmenae,Isla Carmen (Gulf of California),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30728.0,subspecies,,Amphispiza bilineata belvederei,Isla Cerralvo (Gulf of California),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30729.0,subspecies,,Amphispiza bilineata cana,Isla San Estéban (Gulf of California),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30730.0,subspecies,,Amphispiza bilineata pacifica,"Arid nw Mexico (s Sonora, n Sinaloa and Isla Tiburón)",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30731.0,subspecies,,Amphispiza bilineata grisea,"W-c Mexico (Chihuahua to s Coahuila, n Jalisco, sw Tamaulipas)",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
fisspa,30732.0,species,Five-striped Sparrow,Amphispiza quinquestriata,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30733.0,subspecies,,Amphispiza quinquestriata septentrionalis,S Arizona to nw Mexico (Sonora and w Chihuahua to c Sinaloa),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30734.0,subspecies,,Amphispiza quinquestriata quinquestriata,Arid w Mexico (n Jalisco),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
larspa,30735.0,species,Lark Sparrow,Chondestes grammacus,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30736.0,subspecies,,Chondestes grammacus grammacus,"S-cent. Canada (Ontario) to New York, n Texas and w N Carolina",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30737.0,subspecies,,Chondestes grammacus strigatus,SW Canada and w US to n Mexico; > to s Mexico,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
larbun,30738.0,species,Lark Bunting,Calamospiza melanocorys,Breeds w Canada and w US; > to n Mexico,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
sthbrf3,30739.0,species,Costa Rican Brushfinch,Arremon costaricensis,Highlands of sw Costa Rica and w Panama (Chiriquí),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
sthbrf4,30740.0,species,Sierra Nevada Brushfinch,Arremon basilicus,Santa Marta Mountains (ne Colombia),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
sthbrf5,30741.0,species,Perija Brushfinch,Arremon perijanus,E slope of Andes of e Colombia and w Venezuela (Zulia),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
sthbrf1,30742.0,species,Black-headed Brushfinch,Arremon atricapillus,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30743.0,subspecies,,Arremon atricapillus tacarcunae,Mountains of e Panama,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30744.0,subspecies,,Arremon atricapillus atricapillus,Central and Eastern Andes of n Colombia,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
sthbrf6,30745.0,species,Caracas Brushfinch,Arremon phaeopleurus,"Coastal mts. of n Venezuela (Aragua, Miranda, Distrito Federal)",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
sthbrf7,30746.0,species,Paria Brushfinch,Arremon phygas,"Mts. of ne Venezuela (Anzoátegui, Monagas and Sucre)",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
sthbrf8,30747.0,species,Gray-browed Brushfinch,Arremon assimilis,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30748.0,subspecies,,Arremon assimilis larensis,Andes of w Venezuela (w Lara and w Táchira),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30749.0,subspecies,,Arremon assimilis assimilis,"Andes of Colombia to w Venezuela, Ecuador and nw Peru",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30750.0,subspecies,,Arremon assimilis nigrifrons,Andes of sw Ecuador (El Oro and Loja) and nw Peru,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30751.0,subspecies,,Arremon assimilis poliophrys,"Andes of central and se Peru (Huánuco, Junín and Cuzco)",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
sthbrf2,30752.0,species,White-browed Brushfinch,Arremon torquatus,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30753.0,subspecies,,Arremon torquatus torquatus,Andes of extreme southern Peru (southern Puno) and of northwestern Bolivia (La Paz and western Cochabamba),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30754.0,subspecies,,Arremon torquatus fimbriatus,"Andes of Bolivia (e Cochabamba, w Santa Cruz and Chuquisaca)",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30755.0,subspecies,,Arremon torquatus borellii,Andes of s Bolivia (Tarija) and nw Argentina (Jujuy and Salta),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
shbfin1,30756.0,spuh,stripe-headed brushfinch sp.,Arremon sp. (torquatus complex),,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
orbspa1,30757.0,species,Orange-billed Sparrow,Arremon aurantiirostris,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
orbspa2,30758.0,group (polytypic),Orange-billed Sparrow (aurantiirostris Group),Arremon aurantiirostris [aurantiirostris Group],,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30759.0,subspecies,,Arremon aurantiirostris saturatus,Caribbean slope of se Mexico (Veracruz) to Guatemala and Belize,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30760.0,subspecies,,Arremon aurantiirostris rufidorsalis,Caribbean slope of Honduras to Nicaragua and Costa Rica,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30761.0,subspecies,,Arremon aurantiirostris aurantiirostris,Pacific slope of Costa Rica and Panama,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30762.0,subspecies,,Arremon aurantiirostris strictocollaris,Extreme e Panama and adjacent nw Colombia (Chocó),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30763.0,subspecies,,Arremon aurantiirostris occidentalis,Pacific slope of w Colombia and nw Ecuador,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30764.0,subspecies,,Arremon aurantiirostris santarosae,SW Ecuador,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
orbspa3,30765.0,group (monotypic),Orange-billed Sparrow (erythrorhynchus),Arremon aurantiirostris erythrorhynchus,"N Colombia (middle Magdalena, lower Cauca, upper Sinú valleys)",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
orbspa4,30766.0,group (monotypic),Orange-billed Sparrow (spectabilis),Arremon aurantiirostris spectabilis,SE Colombia (Putumayo) to e Ecuador and ne Peru (San Martín),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
blcspa2,30767.0,species,Black-capped Sparrow,Arremon abeillei,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
bkcspa1,30768.0,group (monotypic),Black-capped Sparrow (Black-capped),Arremon abeillei abeillei,Arid scrub of sw Ecuador (Manabí) to nw Peru (Cajamarca),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
bkcspa2,30769.0,group (monotypic),Black-capped Sparrow (Marañon),Arremon abeillei nigriceps,NW Peru (upper Marañón Valley),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
gowspa1,30770.0,species,Golden-winged Sparrow,Arremon schlegeli,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30771.0,subspecies,,Arremon schlegeli fratruelis,N Colombia (Guajira Peninsula),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30772.0,subspecies,,Arremon schlegeli canidorsum,W slope of Eastern Andes of Colombia (Santander),Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30773.0,subspecies,,Arremon schlegeli schlegeli,Caribbean coast of e Colombia and n Venezuela,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
pecspa1,30774.0,species,Pectoral Sparrow,Arremon taciturnus,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
pecspa2,30775.0,group (monotypic),Pectoral Sparrow (Yellow-mandibled),Arremon taciturnus axillaris,Colombia (east of the Andes) and adjacent w Venezuela,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
pecspa3,30776.0,group (polytypic),Pectoral Sparrow (Pectoral),Arremon taciturnus taciturnus/nigrirostris,,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30777.0,subspecies,,Arremon taciturnus taciturnus,"E Colombia to s Venezuela, the Guianas and Amazonian Brazil",Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
,30778.0,subspecies,,Arremon taciturnus nigrirostris,Tropical se Peru to n Bolivia and nw Argentina,Passeriformes,Passerellidae (New World Sparrows),New World Sparrows,,,,,,,,,,,,,,,,,,,,,
